ValuationDate,MarketType,Underlying,Stock Name,Volatility Configuration,Spot Price,Expiration Date,Relative Strike,Strike Price,Volatility,Discount Factor,Depth,Forward Price,Dividend Yield
2024/05/23,Index,TOPIX,TOPIX,EX_MONTHLY_RELATIVE_STRIKES_50_200_10Y,2754.75,2024/06/14,50,1377.3750,0.533305,0.999951,HE,2755.77967,-0.0053836
2024/05/23,Index,TOPIX,TOPIX,EX_MONTHLY_RELATIVE_STRIKES_50_200_10Y,2754.75,2024/06/14,60,1652.8500,0.436823,0.999951,HE,2755.77967,-0.0053836
2024/05/23,Index,TOPIX,TOPIX,EX_MONTHLY_RELATIVE_STRIKES_50_200_10Y,2754.75,2024/06/14,70,1928.3250,0.350290,0.999951,HE,2755.77967,-0.0053836
2024/05/23,Index,TOPIX,TOPIX,EX_MONTHLY_RELATIVE_STRIKES_50_200_10Y,2754.75,2024/06/14,80,2203.8000,0.270018,0.999951,HE,2755.77967,-0.0053836
2024/05/23,Index,TOPIX,TOPIX,EX_MONTHLY_RELATIVE_STRIKES_50_200_10Y,2754.75,2024/06/14,90,2479.2750,0.193743,0.999951,HE,2755.77967,-0.0053836
2024/05/23,Index,TOPIX,TOPIX,EX_MONTHLY_RELATIVE_STRIKES_50_200_10Y,2754.75,2024/06/14,95,2617.0125,0.158152,0.999951,HE,2755.77967,-0.0053836
2024/05/23,Index,TOPIX,TOPIX,EX_MONTHLY_RELATIVE_STRIKES_50_200_10Y,2754.75,2024/06/14,100,2754.7500,0.131509,0.999951,HE,2755.77967,-0.0053836
2024/05/23,Index,TOPIX,TOPIX,EX_MONTHLY_RELATIVE_STRIKES_50_200_10Y,2754.75,2024/06/14,105,2892.4875,0.130922,0.999951,HE,2755.77967,-0.0053836
2024/05/23,Index,TOPIX,TOPIX,EX_MONTHLY_RELATIVE_STRIKES_50_200_10Y,2754.75,2024/06/14,110,3030.2250,0.150043,0.999951,HE,2755.77967,-0.0053836
2024/05/23,Index,TOPIX,TOPIX,EX_MONTHLY_RELATIVE_STRIKES_50_200_10Y,2754.75,2024/06/14,120,3305.7000,0.196524,0.999951,HE,2755.77967,-0.0053836
2024/05/23,Index,TOPIX,TOPIX,EX_MONTHLY_RELATIVE_STRIKES_50_200_10Y,2754.75,2024/06/14,130,3581.1750,0.239696,0.999951,HE,2755.77967,-0.0053836
2024/05/23,Index,TOPIX,TOPIX,EX_MONTHLY_RELATIVE_STRIKES_50_200_10Y,2754.75,2024/06/14,140,3856.6500,0.278497,0.999951,HE,2755.77967,-0.0053836
2024/05/23,Index,TOPIX,TOPIX,EX_MONTHLY_RELATIVE_STRIKES_50_200_10Y,2754.75,2024/06/14,150,4132.1250,0.313592,0.999951,HE,2755.77967,-0.0053836
