ID;Year;Default;WC/TA;RE/TA;EBIT/TA;ME/TL;S/TA
1;1999;0;0.5007986;0.3068458;0.0433734;0.9562708;0.3347738
1;2000;0;0.5477802;0.3222137;0.0518426;1.0645450;0.3345913
1;2001;0;0.4510005;0.2251504;0.0268132;0.8040959;0.2455852
1;2002;0;0.3068869;0.1919362;0.0300583;0.3870105;0.2534376
1;2003;0;0.4472462;0.2173680;0.0324580;0.7916385;0.2755307
1;2004;0;0.4576187;0.2240644;0.0318383;1.2881370;0.3181927
2;1999;0;0.0060338;-0.0284001;0.0067640;0.1102698;0.2549882
2;2000;0;-0.1147283;-0.1186598;0.0308919;0.1496446;0.3157223
2;2001;0;0.0613052;-0.1094951;0.0399474;0.4101503;0.2860254
2;2002;0;0.0506413;-0.0866989;0.0453552;0.2533544;0.3420563
2;2003;0;0.1210532;-0.1140413;0.0372976;0.4571765;0.3121222
3;1999;0;-0.0363527;0.2669636;0.0476107;0.5852994;0.2116824
3;2000;0;-0.0354227;0.2527930;0.0318553;0.3274492;0.2120515
3;2001;0;0.0015918;0.1486610;-0.0026663;0.1620512;0.1560922
3;2002;0;-0.0487345;0.0169387;0.0086358;0.0734475;0.1641156
3;2003;0;-0.0341435;-0.0133432;0.0235617;0.1036882;0.1773946
3;2004;0;-0.0348443;-0.0415092;0.0173981;0.0865290;0.1868751
4;1995;0;0.0237284;0.0469046;0.0472968;0.5547193;0.0725719
4;1996;0;0.0153945;0.0765812;0.0344754;0.6033657;0.0947192
4;1997;0;0.0258408;0.1059324;0.0435098;0.7934194;0.0993770
4;1998;0;0.0009581;0.1224919;0.0367763;0.8186115;0.0927939
4;1999;0;0.0394688;0.1438311;0.0246670;0.6260791;0.1224316
4;2000;0;-0.0458020;0.1474672;0.0420335;0.8906599;0.1472402
4;2001;0;-0.0120814;0.1428467;0.0362047;0.6831554;0.1103368
4;2002;0;-0.0010013;0.1511133;0.0332989;0.5751773;0.0886002
4;2003;0;0.0097895;0.1460492;0.0425866;0.5773621;0.1117286
4;2004;0;-0.0079076;0.1643383;0.0455206;0.6222969;0.1062938
5;1999;0;0.1523052;0.4239996;0.0966860;7.9581250;0.2748552
5;2000;0;0.2338203;0.4669525;0.0922008;11.1699900;0.2733042
5;2001;0;0.0478988;0.3165041;0.0836317;6.1182310;0.2136721
5;2002;0;0.1230267;0.3638396;0.0727958;4.6303540;0.2169732
5;2003;0;0.1382085;0.4113221;0.0764022;5.3768060;0.2206878
5;2004;0;0.1592414;0.4292155;0.0696419;5.0608820;0.2209529
6;1998;0;0.0797956;0.0952759;0.0150599;0.7461002;0.1426455
6;1999;0;0.0295035;0.0410262;0.0313019;0.8074740;0.1355060
6;2000;0;0.0256769;-0.0086209;0.0626345;0.7651554;0.1830699
6;2001;0;0.0418284;0.0014074;0.0426766;0.6414983;0.1334251
6;2002;0;0.0415267;-0.0039614;0.0256979;0.7107261;0.1532108
6;2003;0;0.0218244;-0.0286293;0.0301915;0.6487767;0.1750746
6;2004;0;0.0080377;-0.0473794;0.0431047;0.5516269;0.2016917
7;1998;0;0.0866933;-0.0463420;0.0479515;1.1346200;0.1896871
7;1999;0;0.0675100;-0.0117479;0.0672936;0.8805585;0.1836091
7;2000;0;0.0531902;0.2398293;0.0270884;0.4629003;0.1379696
7;2001;0;-0.3800355;0.3272991;0.0152205;1.2160940;0.1131646
8;1999;0;0.1404884;0.2307479;0.0539588;1.8021330;0.2549298
8;2000;0;0.2780553;0.3397361;0.0601293;1.6977790;0.2373005
8;2001;0;0.2129879;0.3170201;0.0236772;2.6131120;0.1951836
8;2002;0;0.1541534;0.1474664;-0.0209014;0.7425720;0.1434946
8;2003;0;0.2306919;0.1047093;0.0461991;1.1429920;0.2065941
8;2004;0;0.2059725;0.1323696;0.0389617;1.7049510;0.1917723
9;1995;0;-0.1696203;0.0734036;0.0727354;1.5721660;0.1643561
9;1996;0;0.0349478;-0.0695837;0.0396081;3.3700730;0.0862475
9;1997;0;0.0122642;-0.0352460;0.0434070;3.1268360;0.1155363
10;2001;0;0.2819679;0.1773152;0.0395190;0.1706754;0.1653472
10;2002;0;0.3108748;0.0910519;0.0428083;0.2195041;0.1543339
10;2003;0;0.3344412;0.1319868;0.0337244;0.3330885;0.1422774
10;2004;0;0.3373035;0.1626406;0.0366839;0.5850759;0.1591694
11;1995;0;0.3870279;0.0896963;0.0452902;3.0248210;0.0758123
11;1996;0;0.3280051;0.1210137;0.0205971;3.5647940;0.0677444
11;1997;0;0.3514985;-0.2408533;-0.3620827;1.7157270;0.0362116
11;1998;0;0.3612199;0.0523436;0.0241485;1.7078500;0.0614943
11;1999;0;0.1096720;-0.0076169;0.0134921;2.6328630;0.0463917
11;2000;0;0.0891442;-0.0406704;0.0564997;1.4708320;0.1056923
11;2001;0;0.1407778;-0.0763183;0.0200411;3.6068620;0.0887652
12;1995;0;0.1916704;0.2164273;0.0550423;1.2926030;0.7063936
13;1999;0;0.0239515;0.4548746;0.0596134;1.2943930;0.1822929
13;2000;0;0.0885299;0.4193197;0.0630526;1.5405350;0.2021370
13;2001;0;0.0696933;0.4453490;0.0621959;1.7889640;0.1990997
13;2002;0;0.1114273;0.4704183;0.0513935;1.9168470;0.1895075
13;2003;0;0.0856501;0.4603256;0.0386193;1.8293100;0.1944772
13;2004;0;0.0934380;0.4625177;0.0515556;2.2356940;0.2333750
14;2002;0;0.1553401;0.3207796;0.0634440;0.7307062;0.5130795
15;1999;0;0.0228159;0.2384006;0.0380649;0.7666643;0.2665875
15;2000;0;0.0692409;0.1890243;0.0100061;0.4854377;0.2329738
15;2001;0;0.0875790;0.1637554;-0.0103053;0.4010454;0.1916316
15;2002;0;0.1116889;0.0904689;0.0244342;0.2883626;0.2075372
15;2003;0;0.0646596;0.1111962;0.0302283;0.3146200;0.2226321
15;2004;0;0.1132281;0.0925957;0.0249997;0.3667259;0.2393810
16;1999;0;0.0639245;0.1246586;0.0600952;1.6773480;0.1459746
16;2000;0;0.0511330;0.1322283;0.0926519;1.4581260;0.1980033
16;2001;0;0.0307389;0.1753938;0.0480015;1.1125260;0.1241582
17;1999;0;0.2931548;0.5073719;0.0682569;1.9777420;0.4735347
17;2000;0;0.3133628;0.4918219;0.0558073;2.0479020;0.4673589
17;2001;0;0.3614674;0.5137883;0.0700347;2.6779620;0.4464114
17;2002;0;0.3159491;0.5061554;0.0830967;3.2221000;0.4344234
17;2003;0;0.3829469;0.5393754;0.0603390;3.8905500;0.4134912
17;2004;0;0.3050348;0.5809509;0.0705767;5.3113760;0.4475060
18;1999;0;0.0687257;0.3525800;0.0665475;1.3186110;0.6678452
18;2000;0;0.0941283;0.3669141;0.0665729;1.1588390;0.6322480
18;2001;0;0.0863073;0.3716900;0.0589634;1.1861900;0.5969175
18;2002;0;0.0866186;0.3359900;0.0644882;0.8391266;0.6372124
18;2003;0;0.0737719;0.3552347;0.0587071;0.8943679;0.5917743
18;2004;0;0.0149962;0.2960204;0.0620278;0.6864062;0.6332439
19;1999;0;0.1444699;0.4569060;0.0539351;2.1071740;0.2246338
19;2000;0;0.0663550;0.2594889;0.0438197;1.2103120;0.1879266
19;2001;0;0.0485055;0.2642183;0.0401089;1.3496160;0.2085914
19;2002;0;0.0855889;0.2564464;0.0500422;1.0840990;0.2087759
19;2003;0;0.0860109;0.1640620;0.0380559;0.8364891;0.1319347
19;2004;0;0.0267904;0.1478908;0.0418466;0.8300692;0.2355286
20;1999;0;0.0489600;0.1014760;0.0567892;0.4000292;0.2731237
20;2000;0;0.0660288;0.1081949;0.0432707;0.1423872;0.2472102
20;2001;0;0.0658851;0.1044736;0.0470615;0.2462382;0.2363371
20;2002;0;0.1005847;0.1047523;0.0310940;0.2826383;0.2095441
20;2003;0;0.0829439;0.1349198;0.0328888;0.2309065;0.2002402
20;2004;0;0.1977851;0.2018542;0.0390458;0.6624813;0.2909679
21;1995;0;0.3364559;0.2327593;0.0331329;2.2687260;0.3027015
21;1996;1;0.3573008;0.0604665;0.0283414;3.1962860;0.2835108
22;2000;0;-0.0470360;0.1444274;0.0620826;0.9414811;0.1840385
22;2001;0;-0.1229077;0.1186280;0.0405248;0.5800297;0.2036798
22;2002;0;-0.3954011;0.0687779;0.0018374;0.1440341;0.0915908
22;2003;0;0.0492186;0.0292957;0.0352637;0.2048569;0.0881491
22;2004;0;0.0508472;-0.0297468;0.0564774;0.3956204;0.1195929
23;1999;0;0.1157979;0.4452997;0.0613886;3.0831720;0.2850370
23;2000;0;0.1816072;0.4398542;0.0718668;2.4908610;0.2897941
23;2001;0;0.1747439;0.4181159;0.0523750;1.8698660;0.2608399
23;2002;0;0.1549680;0.3215787;0.0457098;1.0920490;0.2409708
23;2003;0;0.1810416;0.3653234;0.0488733;1.5814150;0.2588489
23;2004;0;0.1695805;0.3774517;0.0524680;1.5694480;0.2485363
24;1995;0;0.0695559;0.3027085;0.0645527;1.8147920;0.1734155
24;1996;0;0.0538700;0.3382863;0.0722331;1.8269080;0.1835767
24;1997;0;0.0336465;0.3568022;0.0821387;2.2385930;0.2353855
24;1998;0;0.0050508;0.2608350;0.0704380;2.7149370;0.1951107
24;1999;0;0.0265031;0.3015422;0.0817072;3.9731160;0.1760780
24;2000;0;0.0488727;0.3501757;0.0577342;2.8020640;0.1775305
24;2001;0;0.0568240;0.3910853;0.0689271;2.7371210;0.1832708
24;2002;0;0.0348627;0.3232958;0.0663762;1.5504170;0.1443646
24;2003;0;0.0437581;0.3949200;0.0436625;1.5446200;0.1434598
24;2004;0;0.0438728;0.4312158;0.0585981;1.9072730;0.1557239
25;1999;0;0.1451007;0.3545819;0.0589574;2.8607580;0.2741894
25;2000;0;0.0272240;0.2412387;0.0698675;1.4545420;0.2244752
25;2001;0;0.0879617;0.2482468;0.0245603;1.7273430;0.2122567
25;2002;0;0.0936475;0.2280966;0.0394190;1.0046620;0.1979361
25;2003;0;0.0935778;0.2556791;0.0466655;1.7091260;0.1932244
25;2004;0;0.0736621;0.2856712;0.0276822;1.4509990;0.2241833
26;1999;0;0.1899964;0.0172135;0.0365241;3.0975540;0.1225296
26;2000;0;0.4157795;0.1101916;0.0507385;7.4419470;0.1123187
27;1999;0;0.0576623;0.3144350;0.0738337;1.1319610;0.3174255
27;2000;0;0.0923280;0.3194873;0.0717026;1.0367400;0.3902806
27;2001;0;0.0361390;0.2723700;0.0371221;0.5639517;0.2126751
27;2002;0;0.0439633;0.2809363;0.0467563;0.5731283;0.2627061
27;2003;0;0.0843557;0.2893757;0.0262094;0.5743819;0.2955868
27;2004;0;0.0102240;0.2487855;0.0518709;0.7355943;0.3130597
28;1999;0;0.0749402;0.6867040;0.0698553;1.5162140;0.2381571
28;2000;0;0.0762097;0.7006496;0.0589243;1.3195750;0.2656883
28;2001;0;0.1655081;0.7974930;0.0642427;1.8742770;0.2772907
28;2002;0;0.1030470;0.7804235;0.0571651;2.0184550;0.2737092
28;2003;0;0.0440983;0.6698540;0.0640931;2.2190320;0.2380153
28;2004;0;0.1218325;0.7231985;0.0672952;2.4156350;0.2579426
29;2000;0;-0.0691496;0.0827943;0.0349411;0.3380306;0.2229237
29;2001;0;-0.0906272;0.0946662;0.0309659;0.3888742;0.0775058
